acc.date,aircraft_type,operator,fatalities,damage
2022-07-28,de Havilland Canada DHC-3T Vazar Turbine Otter,Rust's Flying Service,0,sub
2022-07-29,CASA C-212 Aviocar 200,Rampart Aviation,1,sub
2022-07-30,Boeing 737-86N (WL),Nok Air,0,sub
2022-08-05,Boeing 777-FDZ,Qatar Airways Cargo,0,sub
2022-08-06,Boeing 757-251 (WL),Delta Air Lines,0,sub
2022-08-07,IAI 1124 Westwind,Brasil Vida Táxi Aéreo,0,sub
2022-08-15,Cessna 560 Citation Encore,"Raber Flight Services, LLC",0,sub
2022-08-17,Antonov An-24B,Angara Airlines,0,sub
2022-08-19,Boeing 737-824 (WL),United Airlines,0,non
2022-08-20,Beechcraft 99,PACC Air,0,sub
2022-08-29,Boeing 717-2BD,Delta Air Lines,0,non
2022-08-30,Cessna 208B Grand Caravan EX,Smart Cakrawala Aviation,0,sub
2022-08-31,Cessna 208B Grand Caravan EX,Private,0,w/o
2022-09-01,Boeing 737-824 (WL),United Airlines,0,non
2022-09-02,Airbus A320-251N,TAP Air Portugal,0,sub
2022-09-02,Antonov An-2R,2nd Arkhangelsk United Aviation Division,0,sub
2022-09-03,Shorts SC.7 Skyvan 3M-400,SkyForce,2,w/o
2022-09-04,Airbus A220-100,Delta Air Lines,0,non
2022-09-04,Boeing 777-F1H,AeroLogic,0,non
2022-09-04,de Havilland Canada DHC-3T Turbine Otter,Friday Harbor Seaplane Tours,10,w/o
2022-09-04,Cessna 551 Citation II/SP,GG Rent,4,w/o
2022-09-07,Cessna 750 Citation X,"BVS, Inc",0,sub
2022-09-09,Learjet 36,Strategic Airborne Operations,0,sub
2022-09-09,Cirrus SF50 Vision Jet,TAC9 Inc.,0,sub
2022-09-10,Antonov An-28,TRACEP-Congo Aviation,3,w/o
2022-09-10,Cessna 208B Grand Caravan,Piquiatuba Táxi Aéreo,1,w/o
2022-09-15,Fairchild SA227-AC Metro III,Aeronaves TSM,0,sub
2022-09-19,Beechcraft 1900C-1,Equaflight Services,0,sub
2022-09-20,Dassault Falcon 2000,Pepkor Group,0,sub
2022-09-20,Cessna 525B CitationJet CJ3,Pacific Cataract & Laser Institute Inc Pc,0,w/o
2022-09-20,British Aerospace 3201 Jetstream 32EP,SAETA Peru,1,sub
